done writing
done reading
done reading
done writing
8096 bytes | received 8096 bytes
wrote 1740640 bytes | received 1732544 bytes
wrote 1740640 bytes | received 1740640 bytes
wrote 1748736 bytes | received 1740640 bytes
wrote 1748736 bytes | received 1748736 bytes
wrote 1756832 bytes | received 1748736 bytes
wrote 1756832 bytes | received 1756832 bytes
wrote 1764928 bytes | received 1756832 bytes
wrote 1764928 bytes | received 1764928 bytes
wrote 1773024 bytes | received 1764928 bytes
wrote 1773024 bytes | received 1773024 bytes
wrote 1781120 bytes | received 1773024 bytes
wrote 1781120 bytes | received 1781120 bytes
wrote 1789216 bytes | received 1781120 bytes
wrote 1789216 bytes | received 1789216 bytes
wrote 1797312 bytes | received 1789216 bytes
wrote 1797312 bytes | received 1797312 bytes
wrote 1805408 bytes | received 1797312 bytes
wrote 1805408 bytes | received 1805408 bytes
wrote 1813504 bytes | received 1805408 bytes
wrote 1813504 bytes | received 1813504 bytes
wrote 1821600 bytes | received 1813504 bytes
wrote 1821600 bytes | received 1821600 bytes
wrote 1829696 bytes | received 1821600 bytes
wrote 1829696 bytes | received 1829696 bytes
wrote 1837792 bytes | received 1829696 bytes
wrote 1837792 bytes | received 1837792 bytes
wrote 1845888 bytes | received 1837792 bytes
wrote 1845888 bytes | received 1845888 bytes
wrote 1853984 bytes | received 1845888 bytes
wrote 1853984 bytes | received 1853984 bytes
wrote 1862080 bytes | received 1853984 bytes
wrote 1862080 bytes | received 1862080 bytes
wrote 1870176 bytes | received 1862080 bytes
wrote 1870176 bytes | received 1870176 bytes
wrote 1878272 bytes | received 1870176 bytes
wrote 1878272 bytes | received 1878272 bytes
wrote 1886368 bytes | received 1878272 bytes
wrote 1886368 bytes | received 1886368 bytes
wrote 1894464 bytes | received 1886368 bytes
wrote 1894464 bytes | received 1894464 bytes
wrote 1902560 bytes | received 1894464 bytes
wrote 1902560 bytes | received 1902560 bytes
wrote 1910656 bytes | received 1902560 bytes
wrote 1910656 bytes | received 1910656 bytes
wrote 1918752 bytes | received 1910656 bytes
wrote 1918752 bytes | received 1918752 bytes
wrote 1926848 bytes | received 1918752 bytes
wrote 1926848 bytes | received 1926848 bytes
wrote 1934944 bytes | received 1926848 bytes
wrote 1934944 bytes | received 1934944 bytes
wrote 1943040 bytes | received 1934944 bytes
wrote 1943040 bytes | received 1943040 bytes
wrote 1951136 bytes | received 1943040 bytes
wrote 1951136 bytes | received 1951136 bytes
wrote 1959232 bytes | received 1951136 bytes
wrote 1959232 bytes | received 1959232 bytes
wrote 1967328 bytes | received 1959232 bytes
wrote 1967328 bytes | received 1967328 bytes
wrote 1975424 bytes | received 1967328 bytes
wrote 1975424 bytes | received 1975424 bytes
wrote 1983520 bytes | received 1975424 bytes
wrote 1983520 bytes | received 1983520 bytes
wrote 1991616 bytes | received 1983520 bytes
wrote 1991616 bytes | received 1991616 bytes
wrote 1999712 bytes | received 1991616 bytes
wrote 1999712 bytes | received 1999712 bytes
wrote 2007808 bytes | received 1999712 bytes
wrote 2007808 bytes | received 2007808 bytes
wrote 2015904 bytes | received 2007808 bytes
wrote 2015904 bytes | received 2015904 bytes
wrote 2024000 bytes | received 2015904 bytes
wrote 2024000 bytes | received 2024000 bytes
wrote 2032096 bytes | received 2024000 bytes
wrote 2032096 bytes | received 2032096 bytes
wrote 2040192 bytes | received 2032096 bytes
wrote 2040192 bytes | received 2040192 bytes
wrote 2048288 bytes | received 2040192 bytes
wrote 2048288 bytes | received 2048288 bytes
wrote 2056384 bytes | received 2048288 bytes
wrote 2056384 bytes | received 2056384 bytes
wrote 2064480 bytes | received 2056384 bytes
wrote 2064480 bytes | received 2064480 bytes
wrote 2072576 bytes | received 2064480 bytes
wrote 2072576 bytes | received 2072576 bytes
wrote 2080672 bytes | received 2072576 bytes
wrote 2080672 bytes | received 2080672 bytes
